[(1023,1023),(1023,1023),(528,436),(343,396)]
[(1023,1023),(1023,1023),(521,470),(336,430)]
[(1023,1023),(1023,1023),(513,518),(326,479)]
[(1023,1023),(1023,1023),(496,554),(310,511)]
[(1023,1023),(1023,1023),(488,579),(298,536)]
[(1023,1023),(1023,1023),(488,544),(302,504)]
[(1023,1023),(1023,1023),(498,483),(311,446)]
[(271,731),(1023,1023),(518,392),(332,359)]
[(314,600),(505,635),(550,266),(363,238)]
[(339,510),(527,541),(568,177),(383,150)]
[(370,430),(558,463),(603,98),(414,70)]
[(404,321),(593,354),(640,0),(1023,1023)]
[(427,233),(615,269),(1023,1023),(1023,1023)]
[(443,169),(631,206),(1023,1023),(1023,1023)]
[(452,109),(640,144),(1023,1023),(1023,1023)]
[(459,55),(648,89),(1023,1023),(1023,1023)]
[(456,39),(644,74),(1023,1023),(1023,1023)]
[(448,79),(635,115),(1023,1023),(1023,1023)]
[(430,162),(616,201),(1023,1023),(1023,1023)]
[(418,294),(602,338),(1023,1023),(1023,1023)]
[(403,363),(588,408),(659,39),(1023,1023)]
[(379,457),(564,503),(631,136),(447,96)]
[(355,551),(541,597),(608,231),(425,191)]
[(330,603),(519,650),(584,279),(400,239)]
[(318,630),(506,672),(568,302),(382,264)]
[(315,588),(504,627),(559,260),(374,225)]
[(305,531),(493,568),(547,204),(360,168)]
[(256,463),(444,497),(496,135),(307,101)]
[(181,418),(371,451),(424,87),(232,49)]
[(25,360),(222,390),(268,17),(1023,1023)]
[(1023,1023),(112,369),(144,0),(1023,1023)]
[(1023,1023),(28,367),(1023,1023),(1023,1023)]
[(1023,1023),(1023,1023),(1023,1023),(1023,1023)]
[(1023,1023),(1023,1023),(1023,1023),(1023,1023)]
[(1023,1023),(1023,1023),(1023,1023),(1023,1023)]
[(1023,1023),(1023,1023),(1023,1023),(1023,1023)]
[(87,381),(1023,1023),(1023,1023),(1023,1023)]
[(181,390),(1023,1023),(1023,1023),(1023,1023)]
[(285,406),(89,386),(302,37),(1023,1023)]
[(440,444),(251,421),(465,79),(273,54)]
[(547,461),(359,437),(570,94),(382,72)]
[(664,491),(473,465),(688,120),(497,103)]
[(730,507),(543,485),(758,135),(566,120)]
[(798,531),(599,505),(816,152),(622,141)]
[(856,547),(653,520),(870,164),(673,152)]
[(912,561),(704,533),(925,172),(723,164)]
[(975,559),(761,529),(985,166),(781,159)]
[(989,512),(784,483),(1003,125),(816,111)]
[(976,519),(767,479),(1002,127),(816,107)]
[(896,547),(694,496),(966,162),(764,129)]
[(812,561),(617,507),(890,182),(695,145)]
[(674,570),(488,512),(763,204),(577,159)]
[(519,564),(338,506),(616,207),(434,152)]
[(418,549),(238,493),(514,193),(333,139)]
[(344,505),(160,449),(443,151),(260,93)]
[(267,451),(80,393),(366,93),(178,30)]
[(191,361),(9,305),(290,7),(1023,1023)]
[(164,320),(1023,1023),(1023,1023),(1023,1023)]
[(159,278),(1023,1023),(1023,1023),(1023,1023)]
[(156,230),(1023,1023),(1023,1023),(1023,1023)]
[(170,192),(1023,1023),(1023,1023),(1023,1023)]
[(205,138),(1023,1023),(1023,1023),(1023,1023)]
[(257,123),(62,84),(1023,1023),(1023,1023)]
[(305,142),(108,107),(1023,1023),(1023,1023)]
[(348,186),(152,155),(1023,1023),(1023,1023)]
[(393,248),(201,219),(1023,1023),(1023,1023)]
[(466,370),(278,347),(1023,1023),(1023,1023)]
[(491,411),(301,391),(511,40),(319,22)]
[(569,523),(379,505),(582,152),(394,141)]
[(614,588),(421,572),(622,216),(433,207)]
[(669,643),(474,624),(672,268),(489,259)]
[(737,676),(544,656),(744,296),(552,287)]
[(812,692),(614,664),(819,304),(624,295)]
[(889,678),(681,650),(891,289),(692,279)]
